image,image_width,name,type,description,caution,category_slug,slug,natural
"/img/triptomax/triptomax-sm.webp","220px","Triptomax","Complemento alimenticio","Complemento alimenticio para gestionar situaciones de cansancio* o bajón. Con triptófano y vitaminas del grupo B, hierro y magnesio.","*El magnesio ayuda a disminuir el cansancio y la fatiga.","triptomax","triptomax",""
"/img/triptomax/triptomax-balance-sm.webp","220px","Triptomax Balance","Complemento alimenticio","Complemento alimenticio para gestionar situaciones de estrés*. Con triptófano, azafrán, Ashwagandha**, albahaca morada, magnesio y vitaminas del grupo B.","*La albahaca morada ayuda a mantener resistencia al estrés. <br>** La Ashwagandha ayuda a mantener el equilibrio y la estabilidad emocional.","triptomax","triptomax-balance",""
