image,image_width,name,type,description,caution,category_slug,slug,natural
"/img/dormi/dormidina-sm.webp","330px","Dormidina® Doxilamina","Medicamento","<span class='text-brand-blue'>Producto Nº1 en ventas.</span> Deja de contar ovejas y disfruta de un seuño reparador. Eficacia y rapidez, actúa en 30 min*","*Contiene Doxilamina. No ingerir con bebidas alcohólicas. Tomar unicamente antes de acostarte. No administrar a menores de 18 años.","dormidina","dormidina-doxilamina",""
"/img/dormi/dorminatur-melatonina-sm.webp","260px","DormiNatur® Melatonina","Complemento alimenticio","Pon el Sueño en su sitio. En dos presentaciones: Gummies y Comprimidos*","*La ingesta de 1mg de melatonina contribuye a disminuir el tiempo necesario para conciliar el sueño. El efecto beneficioso se obtiene con una ingesta poco antes de irte a dormir. Contiene Pasiflora que contrinuye a mantener un sueño saludable, y favorece un buen y saludable descanso nocturno.","dormidina","dorminatur-melatonina",""
"/img/dormi/dorminatur-valeriana-sm.webp","260px","DormiNatur® Valeriana","Complemento alimenticio","Bienvenida la calma*","*La valeriana ayuda a mantener el estado de calma y contribuye al inicio del sueño. La pasiflora contribuye a mantener un sueño saludable, y favorece un buen y saludable descanso nocturno. La Amapola de california ayuda a mantener la calma.","dormidina","dorminatur-valeriana",""
"/img/dormi/dorminatur-triple-accion-sm.webp","150px","DormiNatur® TripleAcción","Complemento alimenticio","Renuévate durmiendo. El primer multibeneficio del mundo del sueño. Triple: sueño, cuerpo y mente.","*La ingesta de 1mg de melatonina contribuye a disminuir el tiempo necesario para conciliar el sueño. El efecto beneficioso se obtiene con una ingesta poco antes de irte a dormir. El Ginkgo favorece la función cognitiva y la vitamina B6, la función psicológica normal y disminuye el cansancio y la fatiga. La vitamina B5 contribuye al rendimiento intelectual en normal. La curcuma tiene actividad antioxidante significativa. La vitamina D contribuye al funcionamiento normal del sistema inmunitario y muscular.","dormidina","dorminatur-triple-accion",""
