image,image_width,name,type,description,caution,category_slug,slug,natural
"/img/aquoral/aquoral-monodosis-sm.webp","250px","Aquoral® Monodosis","Gotas oftálmicas lubricantes","20 monodosis recerrables con alta concentración de ácido hialurónico para un alivio rápido y duradero del ojo seco.","","aquoral","aquoral-monodosis",""
"/img/aquoral/aquoral-multidosis-sm.webp","220px","Aquoral® Multidosis","Gotas oftálmicas lubricantes","Envase estéril de 10 ml con alta concentración de ácido hialurónico para un alivio rápido y duradero del ojo seco.","","aquoral","aquoral-multidosis",""
"/img/aquoral/aquoral-forte-sm.webp","330px","Aquoral® Forte","Gotas oftálmicas lubricantes y protectoras sin conservantes","Efecto hidratante y alivio prolongado para los ojos secos.","","aquoral","aquoral-forte",""
"/img/aquoral/aquoral-lipo-sm.webp","330px","Aquoral® Lipo","Solución oftálmica lubricante antioxidante sin conservantes","Estabilización completa de la película lagrimal.","","aquoral","aquoral-lipo",""
"/img/aquoral/aquoral-noche-sm.webp","330px","Aquoral® Noche","Pomada ocular lubricante sin conservantes con Vitamina A","Alivio duradero de la sequedad ocular y protección de la superficie ocular.","","aquoral","aquoral-noche",""
