image,image_width,name,type,description,caution,category_slug,slug,natural
"/img/afterbite/afterbite-original-sm.webp","80px","AfterBite Original","El AfterBite de siempre","AfterBite Original proporciona un alivio inmediato del picor ocasionado por insectos, medusas* y plantas.","","afterbite","afterbite-original",""
"/img/afterbite/afterbite-xtreme-sm.webp","80px","AfterBite Xtreme","El AfterBite en gel","AfterBite Xtreme proporciona un alivio inmediato de larga duración del picor ocasionado por insectos, medusa* y plantas.","","afterbite","afterbite-xtreme",""
"/img/afterbite/afterbite-pediatrico-sm.webp","80px","AfterBite Pediátrico","El AfterBite para las pieles más sensibles","AfterBite Pediátrico proporciona un alivio inmediato del picor en pieles sensibles ocasionado por insectos, medusas* y plantas.","","afterbite","afterbite-pediatrico",""
